Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Year
92,Tim Thomas\thomati01,39,DAL,8,5,2,4,1,18,184,166,0.902,2.97,0,0.9,364,2,0.4,1,,,0,0,0,0,2014
93,Dustin Tokarski\tokardu01,24,MTL,3,2,2,0,0,5,93,88,0.946,1.84,1,0.9,163,2,1,0,,,0,0,0,0,2014
94,Semyon Varlamov\varlasi01,25,COL,63,60,41,14,6,146,2013,1867,0.927,2.41,2,15.5,3640,44,0.733,4,84,27.45,0,3,3,2,2014
95,Mark Visentin\visenma01,21,PHX,1,1,0,1,0,3,32,29,0.906,3.06,0,0.2,59,0,0,0,,,0,0,0,0,2014
96,Cam Ward\wardca01,29,CAR,30,28,10,12,6,84,824,740,0.898,3.06,0,3.4,1645,11,0.393,6,118,-13,0,1,1,2,2014
97,Jeff Zatkoff\zatkoje01,26,PIT,20,18,12,6,2,51,582,531,0.912,2.61,1,3.4,1171,9,0.5,3,102,-0.85,0,1,1,0,2014
1,Jake Allen\allenja01,24,STL,37,32,22,7,4,79,909,830,0.913,2.28,4,5.3,2077,17,0.531,6,102,-1.41,0,2,2,2,2015
2,Frederik Andersen\anderfr01,25,ANA,54,53,35,12,5,123,1436,1313,0.914,2.38,3,8.6,3106,32,0.604,9,100,-0.43,0,3,3,4,2015
3,Craig Anderson\andercr01,33,OTT,35,35,14,13,8,87,1134,1047,0.923,2.49,3,8,2093,17,0.486,2,90,9.79,0,0,0,4,2015
4,Richard Bachman\bachmri01,27,EDM,6,4,3,2,0,15,168,153,0.911,2.84,1,0.9,317,3,0.75,1,,,0,0,0,0,2015
5,Niklas Backstrom\backsni01,36,MIN,19,14,5,7,3,51,452,401,0.887,3.05,0,1.2,1005,2,0.143,4,132,-12.42,0,0,0,2,2015
6,Jonathan Bernier\bernijo01,26,TOR,58,55,21,28,7,152,1735,1583,0.912,2.87,2,10,3177,26,0.473,11,103,-3.91,0,1,1,0,2015
7,Reto Berra\berrare01,28,COL,19,12,5,4,1,33,403,370,0.918,2.65,1,2.6,746,5,0.417,2,96,1.4,0,0,0,0,2015
8,Ben Bishop\bishobe01,28,TBL,62,59,40,13,5,136,1620,1484,0.916,2.32,4,10,3519,33,0.559,8,98,2.27,0,4,4,4,2015
9,Sergei Bobrovsky\bobrose01,26,CBJ,51,49,30,17,3,134,1632,1498,0.918,2.68,2,10.4,2994,26,0.531,3,96,5.3,0,2,2,4,2015
10,Martin Brodeur*\brodema01,42,STL,7,5,3,3,0,17,169,152,0.899,2.87,1,0.7,356,2,0.4,2,,,0,0,0,0,2015
11,Laurent Brossoit\brossla01,21,EDM,1,1,0,1,0,2,51,49,0.961,2.01,0,0.6,60,1,1,0,,,0,0,0,0,2015
12,Ilya Bryzgalov\bryzgil01,34,ANA,8,6,1,4,1,23,150,127,0.847,4.19,0,-0.3,329,2,0.333,3,,,0,2,2,0,2015
13,Tyler Bunz\bunzty01,22,EDM,1,0,0,0,0,3,12,9,0.75,9,0,-0.2,20,0,,0,,,0,0,0,0,2015
14,Scott Clemmensen\clemmsc01,37,NJD,3,1,0,0,1,8,54,46,0.852,4.73,0,-0.1,102,0,0,0,,,0,0,0,0,2015
15,Corey Crawford\crawfco01,30,CHI,57,57,32,20,5,126,1661,1535,0.924,2.27,2,11.9,3333,38,0.667,4,89,15.77,0,1,1,8,2015
16,John Curry\curryjo01,30,MIN,2,1,0,0,1,5,25,20,0.8,4.18,0,-0.2,72,0,0,1,,,0,0,0,0,2015
17,Scott Darling\darlisc01,26,CHI,14,13,9,4,0,27,419,392,0.936,1.95,1,3.6,833,10,0.769,0,75,8.76,0,0,0,0,2015
18,Louis Domingue\dominlo01,22,ARI,7,4,1,2,1,14,158,144,0.911,2.73,0,0.9,308,3,0.75,0,,,0,0,0,0,2015
19,Chris Driedger\driedch01,20,OTT,1,0,0,0,0,0,10,10,1,0,0,0.2,23,0,,0,,,0,0,0,0,2015
20,Devan Dubnyk\dubnyde01,28,TOT,58,55,36,14,4,115,1625,1510,0.929,2.07,6,12.6,3328,36,0.655,4,83,23.7,0,2,2,2,2015
20,Devan Dubnyk\dubnyde01,28,MIN,39,39,27,9,2,68,1064,996,0.936,1.78,5,9.1,2293,28,0.718,2,75,22.82,0,2,2,2,2015
20,Devan Dubnyk\dubnyde01,28,ARI,19,16,9,5,2,47,561,514,0.916,2.72,1,3.5,1035,8,0.5,2,98,0.88,0,0,0,0,2015
21,Brian Elliott\elliobr01,29,STL,46,45,26,14,3,96,1150,1054,0.917,2.26,5,7.2,2546,27,0.6,8,98,2.16,0,3,3,0,2015
22,Dan Ellis\ellisda01,34,FLA,8,8,4,3,1,19,221,202,0.914,2.34,1,1.3,486,4,0.5,0,,,0,0,0,0,2015
23,Ray Emery\emeryra01,32,PHI,31,25,10,11,7,80,758,678,0.894,3.06,0,2.7,1570,13,0.52,6,124,-15.3,0,0,0,4,2015
24,Jhonas Enroth\enrotjh01,26,TOT,50,44,18,26,2,145,1504,1359,0.904,3.07,2,7,2834,20,0.455,7,113,-16.63,0,0,0,0,2015
24,Jhonas Enroth\enrotjh01,26,BUF,37,35,13,21,2,120,1237,1117,0.903,3.27,1,5.7,2204,16,0.457,6,114,-14.42,0,0,0,0,2015
24,Jhonas Enroth\enrotjh01,26,DAL,13,9,5,5,0,25,267,242,0.906,2.38,1,1.3,630,4,0.444,1,,,0,0,0,0,2015
25,Viktor Fasth\fasthvi01,32,EDM,26,24,6,15,3,76,681,605,0.888,3.41,0,1.9,1336,9,0.375,9,131,-17.87,0,0,0,0,2015
26,Marc-Andre Fleury\fleurma01,30,PIT,64,64,34,20,9,146,1831,1685,0.92,2.32,10,12.2,3776,35,0.547,6,93,10.28,0,1,1,6,2015
27,Anton Forsberg\forsban01,22,CBJ,5,5,0,4,0,20,149,129,0.866,4.69,0,0,256,0,0,1,,,0,0,0,0,2015
28,John Gibson\gibsojo02,21,ANA,23,21,13,8,0,58,674,616,0.914,2.6,1,4,1340,13,0.619,4,101,-0.47,0,0,0,0,2015
29,Thomas Greiss\greisth01,29,PIT,20,18,9,6,3,50,546,496,0.908,2.59,0,2.9,1159,8,0.444,2,107,-3.4,0,0,0,0,2015
30,Troy Grosenick\grosetr01,25,SJS,2,2,1,1,0,3,58,55,0.948,1.52,1,0.6,118,1,0.5,1,,,0,0,0,0,2015
31,Philipp Grubauer\grubaph01,23,WSH,1,1,1,0,0,2,25,23,0.92,1.85,0,0.2,65,1,1,0,,,0,0,0,0,2015
32,Jonas Gustavsson\gustajo01,30,DET,7,6,3,3,1,15,168,153,0.911,2.56,1,0.9,351,3,0.5,2,,,0,0,0,2,2015
33,Matt Hackett\hackema01,24,BUF,5,4,0,4,1,18,155,137,0.884,4.32,0,0.4,250,1,0.25,1,,,0,0,0,0,2015
34,Jaroslav Halak\halakja01,29,NYI,59,59,38,17,4,144,1673,1529,0.914,2.43,6,9.9,3550,33,0.559,7,101,-1.2,0,1,1,2,2015
35,Andrew Hammond\hammoan01,26,OTT,24,23,20,1,2,42,707,665,0.941,1.79,3,6.5,1411,18,0.783,1,70,18.34,0,1,1,0,2015
36,Jonas Hiller\hillejo01,32,CGY,52,44,26,19,4,113,1376,1263,0.918,2.36,1,8.8,2871,23,0.523,3,96,4.45,0,0,0,0,2015
37,Braden Holtby\holtbbr01,25,WSH,73,72,41,20,10,157,2044,1887,0.923,2.22,9,14.4,4247,43,0.597,7,90,17.46,0,2,2,2,2015
38,Jimmy Howard\howarja02,30,DET,53,50,23,13,11,121,1350,1229,0.91,2.44,2,7.4,2971,26,0.52,8,105,-5.77,0,1,1,2,2015
39,Michael Hutchinson\hutchmi01,24,WPG,38,36,21,10,5,85,986,901,0.914,2.38,2,5.8,2138,19,0.528,7,101,-0.84,0,0,0,0,2015
40,Carter Hutton\huttoca01,29,NSH,18,17,6,7,4,44,450,406,0.902,2.61,1,2,1010,6,0.353,3,115,-5.59,0,0,0,0,2015
41,Chad Johnson\johnsch02,28,NYI,19,17,8,8,1,54,488,434,0.889,3.08,0,1.4,1053,7,0.412,6,130,-12.35,0,0,0,0,2015
42,Martin Jones\jonesma02,25,LAK,15,11,4,5,2,29,307,278,0.906,2.24,3,1.5,775,5,0.455,2,,,0,1,1,0,2015
43,Anton Khudobin\khudoan01,28,CAR,34,32,8,17,6,87,874,787,0.9,2.72,1,3.8,1920,16,0.5,9,117,-12.4,0,0,0,0,2015
44,Keith Kinkaid\kinkake01,25,NJD,19,13,6,5,4,40,469,429,0.915,2.59,0,2.8,925,8,0.615,0,100,0.03,0,0,0,0,2015
45,Darcy Kuemper\kuempda01,24,MIN,31,28,14,12,2,68,718,650,0.905,2.6,3,3.5,1569,15,0.536,7,111,-6.72,0,0,0,0,2015
46,Jason LaBarbera\labarja01,35,ANA,5,2,2,0,1,9,99,90,0.909,2.6,0,0.5,207,2,1,0,,,0,0,0,0,2015
47,Eddie Lack\lacked01,27,VAN,41,35,18,13,4,95,1201,1106,0.921,2.45,2,8.1,2324,18,0.514,5,93,7.51,0,0,0,2,2015
