Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Colorado Avalanche,28.3,82,39,39,4,82,0.5,212,240,4,0,-0.26,0.03,5.51,157,180,48,266,18.05,51,258,80.23,7,9,9.4,9.4,2348,9,2649,0.909,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Montreal Canadiens,28,82,38,38,6,82,0.5,216,233,5,3,-0.18,0,5.48,166,176,42,259,16.22,46,254,81.89,8,11,9.4,9.9,2504,8.6,2408,0.903,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Buffalo Sabres,26.2,82,35,36,11,81,0.494,199,215,2,7,-0.25,0.01,5.05,145,171,48,254,18.9,38,218,82.57,6,6,9.1,10.2,2418,8.2,2511,0.914,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Winnipeg Jets,26.8,82,35,39,8,78,0.476,212,236,3,3,-0.26,0.03,5.46,164,171,38,257,14.79,61,282,78.37,10,4,11.2,10.4,2427,8.7,2423,0.903,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Arizona Coyotes,27.6,82,35,39,8,78,0.476,208,244,1,1,-0.43,0.01,5.51,151,161,53,300,17.67,69,304,77.3,4,14,12.3,11.5,2265,9.2,2539,0.904,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Calgary Flames,27.7,82,35,40,7,77,0.47,229,257,2,3,-0.36,-0.01,5.93,173,193,46,270,17.04,57,234,75.64,10,7,9.2,9.5,2398,9.5,2377,0.892,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Columbus Blue Jackets,26.5,82,34,40,8,76,0.463,213,248,6,4,-0.38,0.03,5.62,167,187,43,248,17.34,53,279,81,3,8,12.1,10.7,2387,8.9,2550,0.903,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Vancouver Canucks,28.9,82,31,38,13,75,0.457,186,239,5,4,-0.62,0.02,5.18,143,184,39,247,15.79,47,249,81.12,4,8,10,10,2311,8,2668,0.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Edmonton Oilers,26.4,82,31,43,8,70,0.427,199,242,4,3,-0.51,0,5.38,151,188,43,237,18.14,49,254,80.71,5,6,9.7,9.2,2386,8.3,2548,0.905,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Toronto Maple Leafs,27.4,82,29,42,11,69,0.421,192,240,6,6,-0.56,0.03,5.27,149,182,40,259,15.44,50,272,81.62,3,8,9.2,9,2515,7.6,2503,0.904,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Washington Capitals*,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,8.4,0.941,102.5,3658,3405,51.8,2696,2546,51.4,166.4,156.9,178,113,56,1570,1534,50.6,341,364,48.4,60,15,50,12.1,2017
Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,7.9,0.932,101,3810,3788,50.1,2874,2735,51.2,197.5,175.7,185,150,13,1778,1597,52.7,404,381,51.5,60,12.9,52,12,2017
Chicago Blackhawks*,29.4,82,50,23,9,109,0.665,240,212,4,1,0.32,-0.06,5.51,197,158,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,7.6,0.937,101.3,3779,3713,50.4,2713,2716,50,178.2,182.5,167,138,33,1645,1693,49.3,330,382,46.3,74,18.3,61,13.8,2017
Columbus Blue Jackets*,26.2,82,50,24,8,108,0.659,247,193,2,2,0.68,0.02,5.37,195,152,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,7.6,0.936,101.2,3719,3677,50.3,2772,2727,50.4,178.3,174.7,168,133,31,1636,1625,50.2,399,400,49.9,63,13.6,42,9.5,2017
Minnesota Wild*,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,8.4,0.931,101.5,3650,3744,49.4,2769,2778,49.9,175.4,151.6,187,148,15,1638,1415,53.7,359,295,54.9,77,17.7,50,14.5,2017
Anaheim Ducks*,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,7.2,0.935,100.7,3504,3551,49.7,2646,2636,50.1,167.9,155.6,145,128,5,1626,1621,50.1,389,331,54,64,14.1,52,13.6,2017
Edmonton Oilers*,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,7.6,0.932,100.9,3664,3667,50,2740,2637,51,191.4,173.4,166,140,8,1731,1652,51.2,377,364,50.9,70,15.7,68,15.7,2017
Montreal Canadiens*,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,7,0.937,100.7,3939,3558,52.5,2836,2574,52.4,170.1,160.8,153,129,15,1634,1506,52,401,355,53,70,14.9,37,9.4,2017
New York Rangers*,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,8.1,0.929,101,3524,3825,48,2669,2801,48.8,167.7,179.2,167,154,25,1597,1674,48.8,375,389,49.1,70,15.7,67,14.7,2017
St. Louis Blues*,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,7.8,0.929,100.7,3415,3390,50.2,2543,2495,50.5,155.1,148.2,155,138,10,1520,1478,50.7,290,290,50,52,15.2,50,14.7,2017
San Jose Sharks*,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,7.4,0.93,100.3,3857,3688,51.1,2795,2576,52,169.8,150.5,153,135,-1,1609,1498,51.8,414,354,53.9,55,11.7,56,13.7,2017
Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,6.6,0.931,99.7,3595,3807,48.6,2616,2745,48.8,153.8,154.8,135,141,-5,1410,1553,47.6,330,319,50.8,49,12.9,38,10.6,2017
Boston Bruins*,28.8,82,44,31,7,95,0.579,232,209,2,3,0.27,0,5.38,169,165,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,6.3,0.92,98.4,3912,3239,54.7,2946,2381,55.3,178.1,149.4,142,147,-34,1706,1409,54.8,422,342,55.2,63,13,74,17.8,2017
Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,7.7,0.928,100.5,3936,3873,50.4,2940,2966,49.8,188,182.3,169,161,2,1889,1758,51.8,399,398,50.1,74,15.6,76,16,2017
New York Islanders,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,8.2,0.924,100.6,3696,4037,47.8,2715,2936,48,180.7,187,178,170,14,1648,1782,48,374,384,49.3,62,14.2,72,15.8,2017
Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,7.3,0.932,100.4,3801,3600,51.4,2815,2707,51,162.6,154.3,160,142,10,1590,1565,50.4,307,304,50.2,48,13.5,58,16,2017
