Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Carolina Hurricanes,27,82,36,35,11,83,0.506,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,6.6,0.916,98.2,4260,3559,54.5,3114,2738,53.2,180.7,164,155,179,-41,1799,1565,53.5,398,331,54.6,67,14.4,61,15.6,2018
New York Islanders,28.4,82,35,37,10,80,0.488,261,293,3,3,-0.4,-0.01,6.76,198,219,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,8.1,0.923,100.4,3739,4139,47.5,2732,3106,46.8,185.8,214.1,177,190,15,1705,1941,46.8,374,426,46.8,67,15.2,82,16.1,2018
Edmonton Oilers,26.8,82,36,40,6,78,0.476,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,7,0.924,99.4,4049,3953,50.6,3037,2903,51.1,195.4,189.4,163,176,-19,1845,1789,50.8,391,401,49.4,58,12.9,58,12.6,2018
New York Rangers,28.7,82,34,39,9,77,0.47,228,263,3,5,-0.46,-0.01,5.99,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,7,0.927,99.8,3537,4162,45.9,2690,3148,46.1,179.5,201.8,150,182,-10,1682,1840,47.8,393,440,47.2,63,13.8,75,14.6,2018
Chicago Blackhawks,28,82,33,39,10,76,0.463,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,6.6,0.924,99.1,4201,3822,52.4,2952,2832,51,192.4,191.6,157,173,-17,1833,1769,50.9,360,371,49.2,61,14.5,62,14.3,2018
Vancouver Canucks,28.2,82,31,40,11,73,0.445,218,259,0,5,-0.51,0.05,5.82,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,6.7,0.927,99.4,3498,3833,47.7,2642,2898,47.7,158.5,185.3,138,164,1,1557,1859,45.6,330,361,47.8,52,13.6,61,14.5,2018
Detroit Red Wings,30.2,82,30,39,13,73,0.445,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,7,0.925,99.5,3574,3748,48.8,2746,2818,49.4,164.2,179.9,148,167,-3,1549,1621,48.9,336,361,48.2,67,16.6,72,16.6,2018
Montreal Canadiens,27.8,82,29,40,13,71,0.433,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,5.9,0.928,98.7,3945,3862,50.5,2825,2785,50.4,175.3,162.1,130,158,-41,1631,1595,50.6,380,363,51.1,57,13,60,14.2,2018
Arizona Coyotes,26.5,82,29,41,12,70,0.427,206,251,2,5,-0.53,0.05,5.57,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,6.8,0.927,99.5,3774,4073,48.1,2729,3084,46.9,163.7,179.1,140,165,-10,1656,1819,47.7,382,415,47.9,47,11,60,12.6,2018
Ottawa Senators,29.3,82,28,43,11,67,0.409,219,284,2,7,-0.85,0,6.13,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,7.2,0.916,98.8,3686,4121,47.2,2719,2992,47.6,159.3,176.4,152,198,-29,1516,1727,46.7,333,366,47.6,63,15.9,57,13.5,2018
