Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
572,Frans Nielsen\nielsfr01,35,DET,C,50,341,416,45,-1.6,263,310,45.9,-0.8,5.8,89.7,95.4,38.4,61.6,13:51,11:02,8,12,-5.1,109,67.9
573,Matthew Nieto\nietoma01,27,COL,LW,58,489,464,51.3,0.5,346,336,50.7,-0.1,11.5,90.4,101.9,39.2,60.8,13:08,10:38,15,11,1.2,120,62.5
574,Boo Nieves\nievecr01,26,NYR,C,4,15,26,36.6,-7.6,10,20,33.3,-11.2,28.6,100,128.6,26.7,73.3,07:32,06:54,1,0,-0.2,7,28.6
575,Sami Niku\nikusa01,23,WPG,D,16,172,223,43.5,-7.4,117,174,40.2,-9.5,7.6,91.4,99,48.2,51.8,16:17,15:11,2,10,-4.9,42,61.9
576,Matt Niskanen\niskama01,33,PHI,D,58,747,681,52.3,0.7,563,508,52.6,1.8,10.1,86.9,97.1,44.3,55.7,21:52,17:07,12,48,3.3,200,56
577,Stefan Noesen\noesest01,26,TOT,RW,29,200,231,46.4,-3.9,156,177,46.8,-3.9,4.4,92.2,96.6,46.4,53.6,10:58,10:27,14,6,-0.8,74,68.9
578,Joakim Nordstrom\nordsjo02,27,BOS,C,42,267,345,43.6,-7,209,256,44.9,-5.4,6.4,89.2,95.6,30.8,69.2,12:12,10:16,10,8,-1.9,79,55.7
579,Tomas Nosek\nosekto01,27,VEG,C,57,450,406,52.6,-1.9,328,293,52.8,-1.8,7.9,90.4,98.3,52.5,47.5,11:31,10:03,20,12,6.4,130,59.2
580,Ryan Nugent-Hopkins\nugenry01,26,EDM,C,53,598,664,47.4,-0.7,449,478,48.4,-0.4,13,89.5,102.5,56.4,43.6,20:19,14:40,44,32,-1.9,241,56
581,Darnell Nurse\nurseda01,24,EDM,D,59,937,964,49.3,2.3,715,745,49,0.6,12.3,88.1,100.4,49.2,50.8,22:51,19:42,24,40,0.7,276,50.4
582,Markus Nutivaara\nutivma01,25,CBJ,D,28,309,319,49.2,0.6,233,229,50.4,1.3,6.9,95.1,102,56.3,43.8,15:02,14:28,3,10,2.5,61,54.1
583,Joakim Nygard\nygarjo01,27,EDM,F,33,206,261,44.1,-2.9,160,187,46.1,-2.2,12.7,88.7,101.4,47.2,52.8,10:41,09:47,14,10,3.5,58,67.2
584,Alexander Nylander\nylanal01,21,CHI,LW,54,468,483,49.2,0.9,331,367,47.4,-0.6,9.2,90.1,99.4,46.5,53.5,12:24,11:01,20,18,-2.4,132,61.4
585,William Nylander\nylanwi01,23,TOR,C,58,820,638,56.2,5.1,600,502,54.4,3.8,11.8,87.4,99.3,60.5,39.5,18:07,15:13,39,35,5.9,250,66.8
586,Gustav Nyquist\nyquigu01,30,CBJ,RW,60,646,729,47,-2.4,483,543,47.1,-4.6,11.7,90.4,102.1,49.9,50.1,17:47,14:09,23,40,-0.3,187,66.3
